Amera 66.150.54.4
Astera 66.150.54.1
Aurera 66.150.54.40
Balera 66.150.54.19
Calmera 66.150.54.34
Chimera 66.150.54.112
Danera 66.150.54.25
Dolera 66.150.54.7
Elera 66.150.54.10
Empera 66.150.54.22
Fidera 66.150.54.124
Fortera 66.150.54.136
Grimera 66.150.54.31
Honera 66.150.54.82
Jamera 66.150.54.49
Julera 66.150.54.142
Keltera 66.150.54.85
Libera 66.150.54.121
Lucera 66.150.54.52
Luminera 66.150.54.55
Magera 66.150.54.127
Malvera 66.150.54.61
Menera 66.150.54.46
Mythera 66.150.54.79
Neptera 66.150.54.91
Ocera 66.150.54.94
Pacera 66.150.54.139
Pythera 66.150.54.67
Rubera 66.150.54.64
Samera 66.150.54.16
Shanera 66.150.54.97
Shivera 66.150.54.100
Silvera 66.150.54.76
Solera 66.150.54.115
Tenebra 66.150.54.106
Trimera 66.150.54.37
Unitera 66.150.54.130
Vinera 66.150.54.109
Xantera 66.150.54.145
Zanera 66.150.54.71
